,danceability,energy,loudness,speechiness,instrumentalness,valence,tempo,acousticness,key,mode,time_signature,id
21,0.55,0.488,-8.059,0.0284,0.000118,0.301,136.025,0.718,6,1,3,6f3ANRNQ8nCiPZ6VqXqq93
22,0.305,0.483,-6.457,0.0323,1.86e-05,0.233,169.655,0.218,3,0,3,7KffKVdLO4P8e4Yx8gDYgw
23,0.707,0.714,-4.143,0.0311,2.89e-06,0.229,118.974,0.436,1,1,4,3trnNo4KeaUlFuUiV7iRCj
24,0.464,0.536,-8.372,0.0472,0,0.252,145.772,0.159,1,0,4,15AbuFJdFrbINydSMSqVhV
25,0.606,0.601,-5.576,0.0283,0.000511,0.453,125.961,0.796,2,1,4,0l6g8Z8mqGbGXFOjigYetD
26,0.531,0.577,-9.363,0.0315,1.28e-05,0.498,177.67,0.117,1,1,4,2cSXotAohYx0EWCNljCzs7
27,0.605,0.53,-6.346,0.0246,0,0.399,93.951,0.822,11,1,4,4OcvkkpF3xmyCGGY5IBlgi
28,0.464,0.444,-8.583,0.027,2.32e-05,0.294,144.092,0.488,4,0,4,3rtxFFGZ10e2vYBo7PsPf2
29,0.492,0.411,-9.616,0.03,1.04e-06,0.187,107.939,0.749,2,0,4,5fjIpQa7O7ttgx64TN9lZR
30,0.649,0.716,-3.936,0.0384,4.51e-06,0.639,86.949,0.268,7,1,4,4f5kLqyOJ5ZPnalEVMQrB2
31,0.659,0.774,-7.014,0.0372,0.000333,0.883,82.995,0.606,7,1,4,4wIWWEhbdgKAxhR68eE0Ye
32,0.565,0.744,-5.817,0.0446,0,0.415,134.068,0.403,7,1,4,3aaiAWCet6sbfOfLSn3g7i
33,0.394,0.452,-9.307,0.0261,0.000115,0.599,73.984,0.0621,0,1,4,5vmqRHDrMgdbw3CIvQycbj
34,0.417,0.715,-5.448,0.0504,0,0.188,137.704,0.424,3,1,4,15Hx1oi6C3AxYhhvolqrJG
35,0.406,0.459,-6.373,0.0392,0,0.245,123.54,0.328,3,0,4,0qO4GfXADY9QfgcgtrasT9
36,0.63,0.53,-7.259,0.0434,0,0.417,108.038,0.4,0,1,3,2YlZnw2ikdb837oKMKjBkW
37,0.33,0.455,-7.499,0.0368,4.02e-05,0.187,155.086,0.562,7,1,4,5qPsvYBxpqxZYwRgq1SQ9j
38,0.591,0.672,-3.515,0.0375,0,0.267,139.939,0.622,5,1,4,29csiYMOfBmLmGwxmISrMy
39,0.53,0.701,-4.54,0.0823,8.09e-06,0.818,171.856,0.536,9,1,4,4NmWv6PEGEAmorN5UN9fRo
40,0.324,0.539,-8.076,0.038,3.15e-05,0.486,120.526,0.713,2,1,4,0tpwqQhdfJXRcUDSNRjb9O
41,0.486,0.383,-6.183,0.0286,8.41e-05,0.164,125.917,0.618,6,1,3,66uMmK9uefgoflmaxbtQCL
42,0.687,0.361,-11.589,0.0792,1.11e-05,0.526,165.747,0.35,10,1,4,0OEBOJhSObnFuHuasXdt52
43,0.492,0.332,-9.282,0.0334,0.00106,0.134,125.722,0.208,0,1,5,3X003bO0MMxXEsJJxidiig
44,0.516,0.675,-4.517,0.0287,0,0.443,129.963,0.137,1,0,4,6yVGUtmHwDsqqXs1Lak423
45,0.568,0.375,-9.167,0.0319,0.000107,0.231,79.09,0.535,7,1,4,0Kp6wskdOWA5U74pbtZ3qQ
46,0.494,0.899,-5.081,0.165,3.43e-05,0.559,79.895,0.599,11,0,4,6GQK4G5o60E8YA18DGpAzv
47,0.569,0.601,-5.554,0.0275,0,0.397,139.904,0.274,1,1,4,0832pFK9N12P1B0nuaUb2Z
48,0.578,0.524,-4.447,0.0322,0,0.196,135.739,0.186,7,1,4,376zCxYCHr7rSFBdz41QyE
49,0.471,0.329,-11.958,0.0312,0.0021,0.144,126.107,0.78,0,0,4,6uQkoo1UGWThtEpNEYc6Ga
0,0.878,0.708,-3.841,0.0541,4.43e-06,0.922,100.502,0.457,2,1,3,1BjQB4vJPolq7ctCnUC59Z
1,0.775,0.661,-7.77,0.151,4.84e-05,0.592,110.384,0.23,0,1,4,07aKw7LfC27IGSb5ppldIQ
2,0.718,0.545,-10.728,0.191,0.000415,0.889,89.337,0.221,6,0,4,1JhGcvVRdJoteIf56GkGwf
3,0.849,0.639,-4.645,0.042,0.0,0.918,106.547,0.55,8,1,4,00bc7aBgwI1wD3zEwrcH4h
4,0.792,0.516,-6.097,0.027,0.0,0.916,108.939,0.197,4,0,4,51qYdMBxt9mFbtZBzq1Yfi
5,0.8,0.708,-6.964,0.0328,4.12e-05,0.897,129.942,0.148,6,1,3,2DzHUSTaK8KWDYjiPuHzPu
6,0.698,0.664,-4.027,0.0406,0.0,0.747,144.981,0.302,8,0,3,6X5WZbJzXtk6aO03HlxuZ9
7,0.577,0.584,-11.16,0.0358,9.95e-06,0.385,94.984,0.666,6,0,3,691TDibKzalozEkDXfKywX
8,0.569,0.38,-7.231,0.092,0.0,0.481,77.556,0.0887,11,0,1,0V6NB0qBW7Vvm7RuSoHszG
9,0.684,0.509,-10.702,0.0397,0.0,0.796,99.24,0.076,8,1,4,127UT7AiWflJwjXWUBBVTQ
10,0.744,0.842,-6.576,0.0358,2.43e-06,0.814,125.258,0.101,10,0,3,1sXr6moCwVxwKEgSPxhVvF
11,0.514,0.657,-7.786,0.0375,0.0,0.855,102.132,0.619,5,1,3,6sGYPF1Ud3pYSyh28XOUp2
12,0.473,0.448,-9.35,0.0378,0.0,0.6,189.195,0.709,9,1,3,3V1jBnDI3zCn25ONFiqwN8
13,0.808,0.944,-4.863,0.0408,1.11e-06,0.937,124.934,0.183,10,0,3,6uIIdjYTxxpWOyWuVXrKQO
