,danceability,energy,loudness,speechiness,instrumentalness,valence,tempo,acousticness,key,mode,time_signature
40,0.792,0.625,-5.609,0.0536,0.0018,0.37,103.967,0.00776,1,1,4
41,0.526,0.606,-5.3,0.259,2.36e-06,0.492,116.622,0.152,5,0,4
42,0.928,0.458,-6.751,0.187,0.000446,0.242,144.995,0.0175,11,1,4
43,0.85,0.699,-3.292,0.0776,0.0,0.915,114.481,0.152,0,1,4
44,0.602,0.91,-3.404,0.0308,0.000174,0.228,127.944,0.00126,7,1,4
45,0.617,0.635,-6.769,0.0317,1.44e-05,0.446,103.019,0.0498,11,0,4
46,0.527,0.835,-5.298,0.0433,0.0,0.654,125.983,0.0166,6,1,4
47,0.649,0.716,-5.371,0.0349,2.63e-05,0.163,99.988,0.0863,8,1,4
48,0.557,0.774,-5.275,0.351,0.0,0.397,111.975,0.012,7,0,4
49,0.551,0.677,-7.311,0.0665,0.0,0.195,106.414,0.0173,2,1,4
50,0.498,0.897,-4.907,0.045,0.0,0.373,169.902,0.00136,2,1,4
51,0.561,0.52,-9.342,0.244,1.86e-06,0.424,153.15,0.0503,11,0,3
52,0.734,0.766,-4.485,0.0383,0.00138,0.6,127.986,0.025,1,1,4
53,0.88,0.428,-8.28,0.206,5.05e-05,0.333,100.007,0.149,9,1,4
54,0.726,0.769,-5.043,0.123,0.0101,0.733,97.985,0.0293,6,1,4
55,0.908,0.621,-6.638,0.102,5.39e-05,0.421,150.011,0.000282,1,0,4
56,0.77,0.58,-8.393,0.247,0.000127,0.753,144.072,0.519,0,1,4
57,0.538,0.742,-5.355,0.114,4.67e-05,0.25,96.107,0.138,2,1,4
58,0.791,0.862,-3.24,0.11,2.19e-05,0.592,123.994,0.037,9,0,4
59,0.563,0.664,-5.044,0.154,0.0,0.688,166.928,0.335,9,1,4
60,0.778,0.632,-5.6,0.0493,0.0,0.498,122.104,0.274,2,0,4
61,0.809,0.463,-11.377,0.0396,0.085,0.364,111.98,0.256,11,1,4
62,0.65,0.715,-5.198,0.253,0.000291,0.187,106.672,0.0993,5,0,4
63,0.748,0.524,-5.599,0.0338,0.0,0.661,95.01,0.414,8,1,4
64,0.805,0.707,-3.758,0.0353,3.71e-05,0.744,122.014,0.142,6,0,4
65,0.696,0.921,-3.755,0.0363,5.24e-05,0.714,119.001,0.00314,0,1,4
66,0.705,0.769,-5.526,0.0425,0.0,0.583,107.949,0.113,9,0,4
67,0.74,0.758,-5.851,0.0921,1.44e-06,0.757,171.925,0.061,1,0,4
68,0.743,0.837,-7.634,0.0633,2.86e-05,0.378,126.023,0.00288,5,0,4
69,0.824,0.764,-4.175,0.0854,0.00294,0.881,107.998,0.0888,5,0,4
70,0.463,0.642,-4.474,0.34,0.0,0.339,83.389,0.314,1,1,4
71,0.587,0.924,-5.433,0.0457,0.0171,0.509,140.009,0.0311,11,0,4
72,0.724,0.578,-7.117,0.0819,1.06e-06,0.757,167.985,0.632,10,1,4
73,0.789,0.706,-4.233,0.0429,1.71e-05,0.638,125.911,0.112,11,0,4
74,0.61,0.571,-5.649,0.0782,0.0,0.747,105.01,0.00863,2,1,4
75,0.817,0.851,-3.309,0.0627,0.0,0.886,127.019,0.0351,11,0,4
76,0.78,0.689,-5.668,0.141,9.69e-06,0.642,115.042,0.0368,7,1,4
77,0.722,0.331,-7.789,0.0726,0.282,0.102,143.961,0.337,8,1,4
78,0.835,0.679,-5.329,0.0364,1.98e-06,0.85,124.98,0.583,7,0,4
79,0.796,0.798,-6.312,0.0317,4.19e-05,0.942,116.032,0.034,1,1,4
80,0.591,0.764,-5.484,0.0483,0.0,0.478,169.928,0.0383,1,1,4
81,0.654,0.76,-3.669,0.045,0.0,0.41,99.945,0.0797,0,0,4
82,0.652,0.8,-4.019,0.0614,0.629,0.234,143.978,0.143,9,0,4
83,0.733,0.67,-6.009,0.0751,0.0,0.472,100.964,0.121,5,1,4
84,0.745,0.353,-10.614,0.0983,0.00662,0.598,160.111,0.174,1,1,4
85,0.636,0.869,-5.289,0.0412,0.0446,0.306,143.011,0.0378,9,1,4
86,0.658,0.671,-12.21,0.0363,0.000927,0.166,100.966,0.0933,2,1,4
87,0.712,0.972,-0.514,0.112,7.06e-05,0.568,119.966,0.00547,10,1,4
88,0.731,0.667,-7.928,0.0815,0.0,0.485,123.042,0.134,7,0,4
89,0.696,0.809,-8.254,0.05,0.000128,0.857,132.962,0.252,5,1,4
0,0.778,0.824,-5.892,0.0707,0,0.758,100.024,0.284,10,0,4
1,0.779,0.64,-8.415,0.159,0.00077,0.498,99.019,0.000155,7,1,4
2,0.741,0.824,-4.143,0.0352,0,0.725,100.216,0.614,10,0,4
3,0.675,0.862,-4.614,0.0253,0.000427,0.498,129.967,0.0165,11,1,4
