,danceability,energy,loudness,speechiness,instrumentalness,valence,tempo,acousticness,key,mode,time_signature
209,0.573,0.44,-15.567,0.323,1.92e-05,0.121,99.956,0.758,1,0,4
0,0.789,0.435,-9.506,0.149,0.0418,0.166,122.995,0.691,2,0,4
1,0.461,0.868,-10.24,0.0611,0.777,0.0302,123.99,0.351,5,1,4
2,0.537,0.8,-7.401,0.0439,0.000381,0.152,124.007,0.0112,10,0,4
3,0.659,0.798,-6.933,0.0749,0.000379,0.15,126.064,0.175,9,0,4
4,0.308,0.708,-7.865,0.0352,0.144,0.0376,122.998,0.0175,1,1,4
5,0.72,0.534,-11.949,0.0375,0.86,0.0393,120.009,0.0223,4,0,4
6,0.59,0.831,-8.67,0.0363,0.947,0.0398,119.996,0.596,2,1,4
7,0.651,0.709,-7.842,0.037,0.00744,0.126,121.02,0.00461,4,1,4
8,0.702,0.52,-8.618,0.0546,0.153,0.0489,115.07,0.103,7,1,4
9,0.598,0.561,-11.421,0.0511,0.557,0.0385,182.988,0.0229,11,0,3
10,0.667,0.92,-2.71,0.0773,0.00232,0.146,114.977,0.00752,9,1,4
11,0.741,0.592,-9.059,0.0308,0.854,0.822,111.984,0.665,6,0,4
12,0.688,0.654,-8.521,0.0493,0.251,0.59,123.011,0.0203,4,1,4
13,0.663,0.499,-9.88,0.0328,0.0328,0.141,121.959,0.483,2,0,4
14,0.788,0.566,-8.884,0.0486,0.803,0.343,120.008,0.346,1,1,4
15,0.692,0.638,-12.76,0.298,0.00169,0.147,126.133,0.847,6,0,4
16,0.762,0.942,-6.432,0.038,0.764,0.038,120.0,0.586,9,0,4
17,0.795,0.474,-8.166,0.0642,0.758,0.477,120.017,0.0213,6,1,4
18,0.604,0.7,-7.687,0.104,0.00281,0.174,121.95,0.488,8,1,4
19,0.667,0.803,-9.721,0.0364,0.794,0.126,123.994,0.00188,1,1,4
20,0.769,0.596,-9.359,0.0524,0.00803,0.259,105.032,0.0487,7,0,4
21,0.539,0.84,-8.342,0.0337,0.253,0.113,124.005,0.0242,6,0,5
22,0.79,0.781,-9.915,0.0638,0.912,0.215,121.002,0.511,5,0,4
23,0.691,0.545,-6.647,0.035,0.78,0.514,105.976,0.172,6,1,4
24,0.655,0.787,-7.466,0.0439,0.177,0.0394,122.044,0.158,0,1,4
25,0.671,0.43,-12.92,0.0448,0.87,0.133,113.996,0.412,7,0,4
26,0.742,0.727,-10.468,0.0449,0.868,0.0398,115.01,0.0111,9,1,4
27,0.65,0.701,-10.637,0.0466,0.146,0.132,127.915,0.433,9,0,4
28,0.697,0.807,-6.657,0.0387,0.0609,0.189,123.999,0.183,9,0,4
29,0.648,0.573,-9.921,0.0352,0.746,0.0764,112.004,0.244,10,0,4
30,0.558,0.834,-8.585,0.0366,0.89,0.108,123.998,0.00573,5,1,4
31,0.734,0.762,-7.013,0.0391,0.952,0.251,122.005,0.0261,9,0,4
32,0.574,0.896,-9.515,0.0336,0.738,0.0856,123.005,0.00205,7,0,4
33,0.692,0.633,-8.513,0.16,0.00203,0.0938,120.069,0.164,7,0,4
34,0.779,0.727,-8.59,0.053,0.0194,0.455,124.021,0.165,11,0,4
35,0.541,0.911,-7.152,0.0556,0.136,0.026,123.968,0.0154,8,1,4
36,0.611,0.591,-9.105,0.0565,0.000481,0.0938,125.073,0.433,7,0,4
37,0.81,0.688,-9.082,0.0382,0.52,0.1,117.015,0.0844,6,0,4
38,0.788,0.904,-9.238,0.0705,0.79,0.036,128.013,0.0512,7,1,4
39,0.661,0.667,-7.819,0.0943,0.000316,0.141,123.972,0.399,5,1,4
40,0.686,0.824,-5.982,0.0352,0.214,0.394,131.982,0.0156,1,1,4
41,0.725,0.571,-9.183,0.0356,0.759,0.285,114.991,0.106,7,1,4
42,0.578,0.743,-9.046,0.0348,0.35,0.136,120.998,0.138,2,1,4
43,0.63,0.867,-6.595,0.0479,0.15,0.14,125.956,0.00046,6,0,4
44,0.788,0.786,-9.321,0.0381,0.877,0.157,122.008,0.0844,3,0,4
45,0.611,0.715,-10.448,0.049,0.918,0.0327,123.877,0.625,9,1,3
46,0.738,0.617,-6.595,0.0313,0.783,0.343,123.987,0.111,9,0,4
47,0.592,0.809,-7.417,0.034,0.424,0.281,123.009,0.0124,5,0,4
48,0.648,0.902,-6.882,0.0673,0.956,0.11,121.986,0.115,5,0,4
49,0.705,0.524,-9.776,0.032,0.26,0.219,119.987,0.112,2,0,4
50,0.702,0.403,-13.428,0.0338,0.269,0.072,101.018,0.676,3,1,4
51,0.652,0.602,-13.98,0.0338,0.942,0.0399,124.012,0.709,1,1,4
52,0.691,0.68,-8.495,0.0332,0.422,0.101,120.008,0.31,7,1,4
53,0.879,0.621,-8.063,0.0476,0.0554,0.515,122.024,0.0133,7,1,4
54,0.647,0.714,-7.393,0.062,0.0109,0.209,114.968,0.116,2,1,4
55,0.546,0.693,-11.991,0.0467,0.073,0.21,125.974,0.00208,1,1,4
