,danceability,energy,loudness,speechiness,instrumentalness,valence,tempo,acousticness,key,mode,time_signature,id
73,0.616,0.869,-3.911,0.0327,0.0,0.473,127.966,0.0283,0,1,4,6ebkx7Q5tTxrCxKq4GYj0Y
74,0.779,0.64,-8.415,0.159,0.00077,0.498,99.019,0.000155,7,1,4,4TsmezEQVSZNNPv5RJ65Ov
75,0.727,0.739,-3.805,0.0411,0.00137,0.533,93.005,0.365,8,1,4,2Xr1dTzJee307rmrkt8c0g
76,0.842,0.734,-5.065,0.0588,0.0,0.952,137.958,0.0427,1,0,4,22vgEDb5hykfaTwLuskFGD
77,0.624,0.876,-3.374,0.1,0.0,0.781,99.943,0.0735,9,1,4,0afhq8XCExXpqazXczTSve
78,0.706,0.786,-3.417,0.091,0.0,0.751,150.028,0.26,0,0,4,0puf9yIluy9W0vpMEUoAnN
79,0.545,0.78,-4.867,0.0436,4.64e-05,0.458,125.014,0.0309,7,0,4,4lhqb6JvbHId48OUJGwymk
80,0.602,0.843,-4.831,0.0593,5.27e-05,0.526,128.003,0.000688,0,1,4,190jyVPHYjAqEaOGmMzdyk
81,0.636,0.815,-5.098,0.0581,0.0,0.636,123.063,0.0185,5,0,4,5tf1VVWniHgryyumXyJM7w
82,0.706,0.89,-4.444,0.0688,0.00286,0.684,128.011,0.0588,1,0,4,2LEF1A8DOZ9wRYikWgVlZ8
83,0.766,0.563,-7.516,0.0339,0.683,0.964,126.007,0.0263,9,0,4,3E7ZwUMJFqpsDOJzEkBrQ7
84,0.762,0.661,-6.075,0.0687,0.0,0.769,130.009,0.15,1,0,4,1hGy2eLcmC8eKx7qr1tOqx
85,0.851,0.806,-4.62,0.0787,1.64e-06,0.787,118.999,0.118,4,1,4,5R8dQOPq8haW94K7mgERlO
86,0.765,0.837,-3.113,0.032,1.06e-05,0.721,122.028,0.00107,1,0,4,0KAiuUOrLTIkzkpfpn9jb9
87,0.727,0.68,-4.498,0.0286,0.0,0.728,132.012,0.0101,2,1,4,6cmm1LMvZdB5zsCwX5BjqE
88,0.688,0.702,-4.792,0.0499,0.0,0.74,94.006,0.0215,7,0,4,6Knv6wdA0luoMUuuoYi2i1
89,0.792,0.717,-4.759,0.0393,3.59e-05,0.466,121.985,0.0927,0,0,4,1A8j067qyiNwQnZT0bzUpZ
90,0.754,0.763,-4.627,0.0435,2.23e-05,0.464,117.953,0.0301,7,0,4,18asYwWugKjjsihZ0YvRxO
91,0.632,0.856,-3.463,0.0348,0.0,0.867,119.397,0.0624,10,1,4,3Fzlg5r1IjhLk2qRw667od
92,0.61,0.83,-4.105,0.0571,0.0,0.728,182.162,0.033,0,1,4,2Rk4JlNc2TPmZe2af99d45
93,0.812,0.879,-10.998,0.0397,0.224,0.962,129.991,0.0167,1,0,4,5ZrDlcxIDZyjOzHdYW1ydr
94,0.722,0.851,-3.873,0.0639,0.0,0.452,126.885,0.0319,7,0,4,5yDL13y5giogKs2fSNf7sj
95,0.697,0.875,-4.621,0.034,0.0,0.774,140.069,0.137,5,1,4,5r43qanLhUCdBj8HN3fa6B
96,0.759,0.54,-6.039,0.0287,0.0,0.75,116.947,0.037,9,0,4,0TK2YIli7K1leLovkQiNik
97,0.794,0.832,-4.862,0.0407,1.14e-05,0.871,107.657,0.237,1,0,4,2lnzGkdtDj5mtlcOW2yRtG
98,0.652,0.698,-4.667,0.042,0.000115,0.47,96.021,0.00112,10,0,4,5Q0Nhxo0l2bP3pNjpGJwV1
99,0.914,0.622,-6.538,0.0892,1.68e-05,0.77,130.04,0.146,7,1,4,53tfEupEzQRtVFOeZvk7xq
100,0.734,0.874,-3.158,0.0662,1.14e-05,0.905,122.953,0.168,8,1,4,6cx06DFPPHchuUAcTxznu9
101,0.573,0.711,-6.268,0.0406,0.0,0.47,105.006,0.0114,1,0,4,46HNZY1i7O6jwTA7Slo2PI
102,0.622,0.807,-6.752,0.408,0.0,0.892,174.06,0.103,5,0,4,6x4tKaOzfNJpEJHySoiJcs
103,0.578,0.912,-3.929,0.114,0.00362,0.68,127.87,0.0166,1,1,4,40SBS57su9xLiE1WqkXOVr
104,0.534,0.87,-3.078,0.0425,0.0,0.462,126.019,0.000334,11,0,4,0JiY190vktuhSGN6aqJdrt
105,0.699,0.529,-7.548,0.0487,3.59e-05,0.121,119.987,0.0317,2,1,4,3DmW6y7wTEYHJZlLo1r6XJ
106,0.751,0.783,-3.724,0.0859,0.0,0.816,119.975,0.00379,4,1,4,2CEgGE6aESpnmtfiZwYlbV
107,0.672,0.82,-4.456,0.0459,0.000188,0.438,120.005,0.0368,11,1,4,3NZJlJemX3mzjf56MqC5ML
108,0.621,0.785,-4.499,0.11,5.92e-06,0.779,123.96,0.0165,6,1,4,1RF02Cf80mTaeNXG2P2boR
109,0.829,0.51,-9.334,0.0369,0.00143,0.45,119.994,0.00821,5,0,4,1HFfMOxCAT4GAwaPfCdmUs
110,0.56,0.872,-4.269,0.14,6.98e-06,0.682,126.05,0.0239,3,1,4,1kPpge9JDLpcj15qgrPbYX
111,0.697,0.91,-3.92,0.247,0.0,0.623,127.031,0.00271,2,1,4,1ZlHr9FYHT7YTbXCoxPq5C
